target,satellite,label,index,filename,view,period,t0,star_radius,k,aos,i,e,w,ldcs_1,ldcs_2,n_points_transit
HD105211,UBr,PC,19,19_curve_HD105211_UBr.npy,Curve,3.321003676439183,1504.3765757868846,1.78292,0.1036599116098372,15.01637206808255,1.553366834783959,0.0,0.0,0.27,0.08,1350
HD105211,UBr,PC,19,19_fold_HD105211_UBr.npy,PhaseFold,3.321003676439183,1504.3765757868846,1.78292,0.1036599116098372,15.01637206808255,1.553366834783959,0.0,0.0,0.27,0.08,1350
HD105211,UBr,PC,19,19_global_HD105211_UBr.npy,Global,3.321003676439183,1504.3765757868846,1.78292,0.1036599116098372,15.01637206808255,1.553366834783959,0.0,0.0,0.27,0.08,1350
HD105211,UBr,PC,19,19_local_HD105211_UBr.npy,Local,3.321003676439183,1504.3765757868846,1.78292,0.1036599116098372,15.01637206808255,1.553366834783959,0.0,0.0,0.27,0.08,1350
HD105211,UBr,PC,20,20_curve_HD105211_UBr.npy,Curve,3.322392565328072,1504.3765757868846,1.78292,0.1036599116098372,15.01637206808255,1.553366834783959,0.0,0.0,0.27,0.08,1350
HD105211,UBr,PC,20,20_fold_HD105211_UBr.npy,PhaseFold,3.322392565328072,1504.3765757868846,1.78292,0.1036599116098372,15.01637206808255,1.553366834783959,0.0,0.0,0.27,0.08,1350
HD105211,UBr,PC,20,20_global_HD105211_UBr.npy,Global,3.322392565328072,1504.3765757868846,1.78292,0.1036599116098372,15.01637206808255,1.553366834783959,0.0,0.0,0.27,0.08,1350
HD105211,UBr,PC,20,20_local_HD105211_UBr.npy,Local,3.322392565328072,1504.3765757868846,1.78292,0.1036599116098372,15.01637206808255,1.553366834783959,0.0,0.0,0.27,0.08,1350
HD105211,UBr,PC,21,21_curve_HD105211_UBr.npy,Curve,3.3237814542169613,1504.3765757868846,1.78292,0.1036599116098372,15.01637206808255,1.553366834783959,0.0,0.0,0.27,0.08,1350
HD105211,UBr,PC,21,21_fold_HD105211_UBr.npy,PhaseFold,3.3237814542169613,1504.3765757868846,1.78292,0.1036599116098372,15.01637206808255,1.553366834783959,0.0,0.0,0.27,0.08,1350
HD105211,UBr,PC,21,21_global_HD105211_UBr.npy,Global,3.3237814542169613,1504.3765757868846,1.78292,0.1036599116098372,15.01637206808255,1.553366834783959,0.0,0.0,0.27,0.08,1350
HD105211,UBr,PC,21,21_local_HD105211_UBr.npy,Local,3.3237814542169613,1504.3765757868846,1.78292,0.1036599116098372,15.01637206808255,1.553366834783959,0.0,0.0,0.27,0.08,1350
HD105211,UBr,PC,39,39_curve_HD105211_UBr.npy,Curve,2.367619866280376,1468.323030786853,1.78292,0.090287616280128,14.380496713017417,1.5389196593234593,0.0,0.0,0.26,0.14,1491
HD105211,UBr,PC,39,39_fold_HD105211_UBr.npy,PhaseFold,2.367619866280376,1468.323030786853,1.78292,0.090287616280128,14.380496713017417,1.5389196593234593,0.0,0.0,0.26,0.14,1491
HD105211,UBr,PC,39,39_global_HD105211_UBr.npy,Global,2.367619866280376,1468.323030786853,1.78292,0.090287616280128,14.380496713017417,1.5389196593234593,0.0,0.0,0.26,0.14,1491
HD105211,UBr,PC,39,39_local_HD105211_UBr.npy,Local,2.367619866280376,1468.323030786853,1.78292,0.090287616280128,14.380496713017417,1.5389196593234593,0.0,0.0,0.26,0.14,1491
HD105211,UBr,PC,40,40_curve_HD105211_UBr.npy,Curve,2.3690087551692645,1468.323030786853,1.78292,0.090287616280128,14.380496713017417,1.5389196593234593,0.0,0.0,0.26,0.14,1491
HD105211,UBr,PC,40,40_fold_HD105211_UBr.npy,PhaseFold,2.3690087551692645,1468.323030786853,1.78292,0.090287616280128,14.380496713017417,1.5389196593234593,0.0,0.0,0.26,0.14,1491
HD105211,UBr,PC,40,40_global_HD105211_UBr.npy,Global,2.3690087551692645,1468.323030786853,1.78292,0.090287616280128,14.380496713017417,1.5389196593234593,0.0,0.0,0.26,0.14,1491
HD105211,UBr,PC,40,40_local_HD105211_UBr.npy,Local,2.3690087551692645,1468.323030786853,1.78292,0.090287616280128,14.380496713017417,1.5389196593234593,0.0,0.0,0.26,0.14,1491
HD105211,UBr,PC,57,57_curve_HD105211_UBr.npy,Curve,4.87689481092901,1460.235748787209,1.78292,0.1138219693749659,19.98961694974657,1.563001286995707,0.0,0.0,0.35,0.1,1111
HD105211,UBr,PC,57,57_fold_HD105211_UBr.npy,PhaseFold,4.87689481092901,1460.235748787209,1.78292,0.1138219693749659,19.98961694974657,1.563001286995707,0.0,0.0,0.35,0.1,1111
HD105211,UBr,PC,57,57_global_HD105211_UBr.npy,Global,4.87689481092901,1460.235748787209,1.78292,0.1138219693749659,19.98961694974657,1.563001286995707,0.0,0.0,0.35,0.1,1111
HD105211,UBr,PC,57,57_local_HD105211_UBr.npy,Local,4.87689481092901,1460.235748787209,1.78292,0.1138219693749659,19.98961694974657,1.563001286995707,0.0,0.0,0.35,0.1,1111
